experiment,x_name,x_value,algorithm,metric,n,mean,ci95_half_width,ci95_low,ci95_high
scalability,nodes,24.0,dlapm,continuity_satisfaction_ratio_pct,3,100.0,0.0,100.0,100.0
scalability,nodes,24.0,dlapm,migration_mb_per_admitted_sfc,3,44.77965460588336,39.228389054576695,5.551265551306663,84.00804366046006
scalability,nodes,24.0,dlapm,downtime_ms_per_admitted_sfc,3,31.187206793822554,28.519035820334405,2.6681709734881487,59.70624261415696
scalability,nodes,24.0,dlapm,mean_e2e_delay_ms,3,45.9835590761791,6.371294841428871,39.61226423475023,52.35485391760797
scalability,nodes,24.0,dlapm,p95_e2e_delay_ms,3,68.40004894927328,9.226298360592798,59.173750588680484,77.62634730986608
scalability,nodes,24.0,dlapm,mean_decision_runtime_ms,3,15.927758389442312,6.110880008575925,9.816878380866388,22.038638398018236
scalability,nodes,24.0,dlapm,p95_decision_runtime_ms,3,41.58147348333333,40.096427829339085,1.4850456539942485,81.67790131267242
scalability,nodes,24.0,dlapm,mean_cpu_utilization_pct,3,50.16099356115482,2.4097452208042487,47.75124834035057,52.570738781959065
scalability,nodes,24.0,dlapm,mean_bandwidth_utilization_pct,3,12.211512502042149,2.5637280957157818,9.647784406326368,14.77524059775793
scalability,nodes,24.0,im,acceptance_ratio_pct,3,100.0,0.0,100.0,100.0
scalability,nodes,24.0,im,continuity_satisfaction_ratio_pct,3,96.78932178932179,7.567591142203975,89.22173064711781,104.35691293152577
scalability,nodes,24.0,im,migration_mb_per_admitted_sfc,3,6.865694450776971,11.095321488867356,-4.229627038090385,17.961015939644327
scalability,nodes,24.0,im,downtime_ms_per_admitted_sfc,3,6.158575793202373,11.965157307481787,-5.806581514279414,18.12373310068416
scalability,nodes,24.0,im,mean_e2e_delay_ms,3,45.617252932391956,5.963952923918626,39.65330000847333,51.58120585631058
scalability,nodes,24.0,im,p95_e2e_delay_ms,3,69.89986676546343,18.267695919596992,51.63217084586644,88.16756268506042
scalability,nodes,24.0,im,mean_decision_runtime_ms,3,16.382852546959388,0.74190671021622,15.640945836743168,17.124759257175608
scalability,nodes,24.0,im,p95_decision_runtime_ms,3,49.43784818333328,18.053080749119587,31.384767434213693,67.49092893245287
scalability,nodes,24.0,im,mean_cpu_utilization_pct,3,47.49811712423761,1.0661178757357999,46.43199924850181,48.56423499997341
scalability,nodes,24.0,im,mean_bandwidth_utilization_pct,3,10.28656511067071,1.2927164471558743,8.993848663514836,11.579281557826583
scalability,nodes,24.0,stg_ddqn,acceptance_ratio_pct,3,100.0,0.0,100.0,100.0
scalability,nodes,24.0,stg_ddqn,continuity_satisfaction_ratio_pct,3,97.7994227994228,4.781632289474146,93.01779050994865,102.58105508889695
scalability,nodes,24.0,stg_ddqn,migration_mb_per_admitted_sfc,3,27.15572957969726,22.17306885660536,4.9826607230919,49.32879843630262
scalability,nodes,24.0,stg_ddqn,downtime_ms_per_admitted_sfc,3,22.37578330993391,22.330061509165912,0.04572180076799981,44.70584481909982
scalability,nodes,24.0,stg_ddqn,mean_e2e_delay_ms,3,46.23795731682049,5.928766619116811,40.309190697703684,52.1667239359373
scalability,nodes,24.0,stg_ddqn,p95_e2e_delay_ms,3,67.93918878936064,8.936139940284061,59.00304884907658,76.8753287296447
scalability,nodes,24.0,stg_ddqn,mean_decision_runtime_ms,3,25.851825192170182,10.592221492896492,15.25960369927369,36.444046685066674
scalability,nodes,24.0,stg_ddqn,p95_decision_runtime_ms,3,60.41852428333334,32.89513592363189,27.52338835970145,93.31366020696524
scalability,nodes,24.0,stg_ddqn,mean_cpu_utilization_pct,3,48.5643644600334,1.0632733818669442,47.50109107816646,49.627637841900345
scalability,nodes,24.0,stg_ddqn,mean_bandwidth_utilization_pct,3,11.361575016264672,2.649628553726962,8.71194646253771,14.011203569991633
traffic,arrival_rate_req_s,0.25,dlapm,acceptance_ratio_pct,3,100.0,0.0,100.0,100.0
traffic,arrival_rate_req_s,0.25,dlapm,continuity_satisfaction_ratio_pct,3,100.0,0.0,100.0,100.0
traffic,arrival_rate_req_s,0.25,dlapm,migration_mb_per_admitted_sfc,3,26.10342716431495,22.52907229093889,3.5743548733760626,48.632499455253836
traffic,arrival_rate_req_s,0.25,dlapm,downtime_ms_per_admitted_sfc,3,15.888888888888891,2.083869826458593,13.805019062430297,17.972758715347485
traffic,arrival_rate_req_s,0.25,dlapm,mean_e2e_delay_ms,3,44.51051948940864,8.7550505575379,35.75546893187074,53.265570046946536
traffic,arrival_rate_req_s,0.25,dlapm,p95_e2e_delay_ms,3,61.60668099953653,23.986805848378904,37.61987515115763,85.59348684791543
